Category	Name	Duration
Air/Fire_Extinguisher	Fire Extinguisher (1)	1.62s
Air/Fire_Extinguisher	Fire Extinguisher (2)	1.88s
Air/Fire_Extinguisher	Fire Extinguisher (3)	2.04s
Air/Fire_Extinguisher	Fire Extinguisher (4)	2.79s
Air/Fire_Extinguisher	Fire Extinguisher (5)	3.24s
Air/Fire_Extinguisher	Fire Extinguisher (6)	1.54s
Air/Fire_Extinguisher	Fire Extinguisher (7)	1.67s
Air/Fire_Extinguisher	Fire Extinguisher (8)	0.78s
Air/Fire_Extinguisher	Fire Extinguisher (9)	1.33s
Air/Fire_Extinguisher	Fire Extinguisher (10)	2.53s
Air/Fire_Extinguisher	Fire Extinguisher (11)	1.28s
Air/Fire_Extinguisher	Fire Extinguisher (12)	3.92s
Air/Fire_Extinguisher	Fire Extinguisher (13)	4.55s
Air/Steam	Scifi Air Escaping (1)	2.29s
Air/Steam	Small Stream (1)	2.11s
Air/Steam	Small Stream (2)	2.07s
Air/Steam	Steam (1)	2.17s
Air/Steam	Steam (2)	3.6s
Air/Steam	Steam (3)	4.26s
Air/Steam	Steam (4)	1.99s
Air/Steam	Steam (5)	4.02s
Air/Steam	Steam (6)	5.49s
Air/Steam	Steam (7)	2.14s
Air/Steam	Steam (8)	1.07s
Air/Steam	Steam (9)	2.69s
Air/Steam	Steam (10)	2.95s
Air/Steam	Steam (11)	5.3s
Air/Steam	Steam (12)	2.14s
Air/Steam	Steam (13)	4.47s
Air/Steam	Steam (14)	4.52s
Air/Steam	Stream (1)	5.28s
Air/Steam	Stream (2)	4.74s
Air/Steam	Stream (3)	4.95s
Aircrafts/Futuristic	Futuristic (1)	4.18s
Aircrafts/Futuristic	Futuristic (2)	2.09s
Aircrafts/Futuristic	Futuristic (3)	1.85s
Aircrafts/Futuristic	Futuristic (4)	2.17s
Aircrafts/Futuristic	Futuristic (5)	2.35s
Aircrafts/Futuristic	Futuristic (6)	4.02s
Aircrafts/Futuristic	Futuristic (7)	4.86s
Aircrafts/Futuristic	Futuristic (8)	3.97s
Aircrafts/Futuristic	Futuristic (9)	3.74s
Aircrafts/Futuristic	Futuristic (10)	4.1s
Aircrafts/Futuristic	Futuristic (11)	4.44s
Aircrafts/Futuristic	Futuristic (12)	4.65s
Aircrafts/Futuristic	Futuristic (13)	2.25s
Aircrafts/Futuristic	Futuristic (14)	2.27s
Aircrafts/Futuristic	Futuristic (15)	2.77s
Aircrafts/Helicopter	Helicopter (1)	4.47s
Aircrafts/Helicopter	Helicopter (2)	4.75s
Aircrafts/Helicopter	Helicopter (3)	3.74s
Aircrafts/Helicopter	Helicopter (4)	4.41s
Aircrafts/Helicopter	Helicopter (5)	4.34s
Aircrafts/Helicopter	Helicopter (6)	3.5s
Aircrafts/Helicopter	Helicopter (7)	5.49s
Aircrafts/Helicopter	Helicopter (8)	4.39s
Aircrafts/Helicopter	Helicopter (9)	5.02s
Aircrafts/Helicopter	Helicopter (10)	4.49s
Aircrafts/Helicopter	Helicopter (11)	5.49s
Aircrafts/Helicopter	Helicopter (12)	4.83s
Aircrafts/Helicopter	Helicopter (13)	5.02s
Aircrafts/Helicopter	Helicopter (14)	5.36s
Aircrafts/Helicopter	Helicopter (15)	5.77s
Aircrafts/Jets	Airplane Takeoff Whoosh (1)	2.15s
Aircrafts/Jets	Jet (1)	4.02s
Aircrafts/Jets	Jet (2)	4.02s
Aircrafts/Jets	Jet (3)	4.75s
Aircrafts/Jets	Jet (4)	4.75s
Aircrafts/Jets	Jet (5)	4.99s
Aircrafts/Jets	Jet (6)	5.25s
Aircrafts/Jets	Jet (7)	3.58s
Aircrafts/Jets	Jet (8)	5.43s
Aircrafts/Jets	Jet (9)	4.36s
Aircrafts/Jets	Jet (10)	5.62s
Aircrafts/Jets	Jet (11)	3.92s
Aircrafts/Jets	Jet (12)	4.44s
Aircrafts/Jets	Jet (13)	4.65s
Aircrafts/Jets	Jet (14)	4.81s
Aircrafts/Jets	Jet (15)	3.92s
Airport	Airport (1)	4.81s
Airport	Airport (2)	5.22s
Airport	Airport (3)	4.65s
Airport	Airport (4)	5.3s
Airport	Airport (5)	4.78s
Airport	Airport (6)	6.43s
Airport	Airport (7)	5.04s
Airport	Airport (8)	3.89s
Airport	Airport (9)	3.71s
Airport	Airport (10)	6.14s
Airport	Airport (11)	4.83s
Airport	Airport (12)	5.43s
Airport	Airport (13)	5.07s
Alarms/Air_Horns	Air Horn (1)	1.57s
Alarms/Air_Horns	Air Horn (2)	4.18s
Alarms/Air_Horns	Air Horn (3)	1.31s
Alarms/Air_Horns	Air Horn (4)	1.62s
Alarms/Air_Horns	Air Horns (1)	4.41s
Alarms/Air_Horns	Air Horns (2)	2.09s
Alarms/Air_Horns	Air Horns (3)	2.12s
Alarms/Air_Horns	Air Horns (4)	3.68s
Alarms/Air_Horns	Air Horns (5)	1.23s
Alarms/Air_Horns	Air Horns (6)	2.17s
Alarms/Air_Horns	Air Horns (7)	1.46s
Alarms/Air_Horns	Air Horns (8)	0.86s
Alarms/Air_Horns	Air Horns (9)	1.31s
Alarms/Alarm_Sirens_Scifi	Scifi Alarm (1)	2.79s
Alarms/Alarm_Sirens_Scifi	Scifi Alarm (2)	3.62s
Alarms/Alarm_Sirens_Scifi	Scifi Alarm (3)	5.96s
Alarms/Alarm_Sirens_Scifi	Scifi Alarm (4)	4.49s
Alarms/Alarm_Sirens_Scifi	Scifi Alarm (5)	2.72s
Alarms/Alarm_Sirens_Scifi	Scifi Alarm (6)	5.13s
Alarms/Alarm_Sirens_Scifi	Sirens (1)	4.13s
Alarms/Back_Up_Beeps	Back Up Beeps (1)	4.39s
Alarms/Back_Up_Beeps	Back Up Beeps (2)	4.23s
Alarms/Back_Up_Beeps	Back Up Beeps (3)	4.28s
Alarms/Back_Up_Beeps	Back Up Beeps (4)	5.09s
Alarms/Back_Up_Beeps	Back Up Beeps (5)	4.78s
Alarms/Back_Up_Beeps	Back Up Beeps (6)	4.13s
Alarms/Back_Up_Beeps	Back Up Beeps (7)	2.06s
Alarms/Back_Up_Beeps	Back Up Beeps (8)	4.21s
Alarms/Back_Up_Beeps	Back Up Beeps (9)	4.13s
Alarms/Beeps and Bloops	Bell (1)	0.57s
Alarms/Beeps and Bloops	Bell (2)	3.08s
Alarms/Beeps and Bloops	Bell (3)	0.71s
Alarms/Beeps and Bloops	Bell (4)	0.71s
Alarms/Beeps and Bloops	Bell (5)	0.65s
Alarms/Beeps and Bloops	Bell (6)	0.89s
Alarms/Beeps and Bloops	Bell Med Chime (2)	0.89s
Alarms/Beeps and Bloops	Bell Short Chime (1)	0.71s
Alarms/Beeps and Bloops	Bell Short Chime (2)	0.71s
Alarms/Beeps and Bloops	Bell Short Chime (3)	0.67s
Alarms/Beeps and Bloops	Bell Timer (1)	3.08s
Alarms/Beeps and Bloops	Bicycle Bell Ring (1)	2s
Alarms/Beeps and Bloops	Boing (1)	0.78s
Alarms/Beeps and Bloops	Boing (2)	0.99s
Alarms/Beeps and Bloops	Boing (3)	1.57s
Alarms/Beeps and Bloops	Buzz (1)	0.47s
Alarms/Beeps and Bloops	Buzz (2)	1.15s
Alarms/Beeps and Bloops	Buzz (3)	2.27s
Alarms/Beeps and Bloops	Buzz (4)	0.76s
Alarms/Beeps and Bloops	Buzz (5)	1.02s
Alarms/Beeps and Bloops	Clock (1)	1.33s
Alarms/Beeps and Bloops	Clock (2)	4.08s
Alarms/Beeps and Bloops	Electronic Beep (1)	0.85s
Alarms/Beeps and Bloops	Electronic Beep (2)	0.81s
Alarms/Beeps and Bloops	Electronic Beep (3)	0.81s
Alarms/Beeps and Bloops	Intro (1)	4.81s
Alarms/Beeps and Bloops	Intro (2)	4.83s
Alarms/Beeps and Bloops	Scifi Timer Beep (1)	1.93s
Alarms/Beeps and Bloops	Scifi Zap Backwards (1)	1.93s
Alarms/Beeps and Bloops	Scifi Zap Electric (1)	2.15s
Alarms/Beeps and Bloops	Scifi Zap Electric (2)	2.11s
Alarms/Beeps and Bloops	Sirens (1)	4.13s
Alarms/Beeps and Bloops	Test Tone (1)	1.64s
Alarms/Beeps and Bloops	Timer (1)	1.93s
Alarms/Beeps and Bloops	Tone (1)	1.65s
Alarms/Beeps and Bloops	Tone (2)	0.84s
Alarms/Beeps and Bloops	Tone (3)	0.81s
Alarms/Beeps and Bloops	Tone (4)	0.78s
Alarms/Beeps and Bloops	Tone (5)	2.04s
Alarms/Beeps and Bloops	Woosh (1)	2.09s
Alarms/Beeps and Bloops	Woosh (2)	1.23s
Alarms/Beeps and Bloops	Woosh (3)	1.41s
Alarms/Beeps and Bloops	Woosh (4)	2.12s
Alarms/Beeps and Bloops	Zap (1)	2.14s
Alarms/Beeps and Bloops	Zap (2)	2.12s
Alarms/Beeps and Bloops	Zap (3)	1.93s
Alarms/Buzzers	Buzzers (1)	3.16s
Alarms/Buzzers	Buzzers (2)	2.53s
Alarms/Buzzers	Buzzers (3)	3.24s
Alarms/Buzzers	Buzzers (4)	4.05s
Alarms/Buzzers	Buzzers (5)	2.79s
Alarms/Buzzers	Buzzers (6)	1.15s
Alarms/Buzzers	Buzzers (7)	1.78s
Alarms/Buzzers	Buzzers (8)	3.16s
Alarms/Buzzers	Buzzers (9)	1.18s
Alarms/Buzzers	Buzzers (10)	5.54s
Alarms/Buzzers	Buzzers (11)	2.09s
Alarms/Buzzers	Buzzers (12)	3.37s
Alarms/Buzzers	Buzzers (13)	2.56s
Alarms/Buzzers	Buzzers (14)	3.19s
Alarms/Buzzers	Buzzers (15)	2.19s
Alarms/Car_Alarms	Car Alarm (1)	4.18s
Alarms/Car_Alarms	Car Alarm (2)	4.02s
Alarms/Car_Alarms	Car Alarm (3)	4.26s
Alarms/Car_Alarms	Car Alarm (4)	3.37s
Alarms/Car_Alarms	Car Alarm (5)	0.71s
Alarms/Car_Alarms	Car Alarms (1)	2.51s
Alarms/Car_Alarms	Car Alarms (2)	2.77s
Alarms/Car_Alarms	Car Alarms (3)	1.02s
Alarms/Car_Alarms	Car Alarms (4)	4.13s
Alarms/Car_Alarms	Car Alarms (5)	4.02s
Alarms/Car_Alarms	Car Alarms (6)	2.56s
Alarms/Car_Alarms	Car Alarms (7)	4.13s
Alarms/Car_Alarms	Car Alarms (8)	0.91s
Alarms/Car_Alarms	Car Alarms (9)	3.87s
Alarms/Car_Alarms	Car Alarms (10)	3.47s
Alarms/Chimes_and_Bells	Chimes Bells (1)	4.08s
Alarms/Chimes_and_Bells	Chimes Bells (2)	2.98s
Alarms/Chimes_and_Bells	Chimes Bells (3)	4.62s
Alarms/Chimes_and_Bells	Chimes Bells (4)	3.81s
Alarms/Chimes_and_Bells	Chimes Bells (5)	4s
Alarms/Chimes_and_Bells	Chimes Bells (6)	3.06s
Alarms/Chimes_and_Bells	Chimes Bells (7)	4.34s
Alarms/Chimes_and_Bells	Chimes Bells (8)	4.44s
Alarms/Chimes_and_Bells	Chimes Bells (9)	2.72s
Alarms/Chimes_and_Bells	Chimes Bells (10)	3.29s
Alarms/Chimes_and_Bells	Chimes Bells (11)	3.13s
Alarms/Chimes_and_Bells	Chimes Bells (12)	3.4s
Alarms/Chimes_and_Bells	Chimes Bells (13)	3.32s
Alarms/Chimes_and_Bells	Chimes Bells (14)	4.62s
Alarms/Chimes_and_Bells	Doorbell (1)	2.15s
Alarms/Chimes_and_Bells	Doorbell Buzz (1)	2.11s
Alarms/Chimes_and_Bells	Doorbell Chime (1)	2.15s
Alarms/Chimes_and_Bells	Doorbell Chime (2)	1.89s
Alarms/Radar	Scifi Radar High Ping (1)	2.87s
Alarms/Radar	Scifi Radar Low (1)	3.05s
Alarms/Radar	Scifi Radar Medium (1)	1.71s
Alarms/Sonar	Scifi Sonar Ping 3x (1)	5.71s
Alarms/Sonar	Scifi Sonar Ping 4x (1)	5.49s
Animals/Bear	Bear Groan Roar (1)	2.79s
Animals/Bear	Bear Roar Grumble (1)	3.95s
Animals/Bear	Bear Roar Small (1)	1.86s
Animals/Birds	Bird Chickadee Chirp 1x (1)	0.63s
Animals/Birds	Bird Chickadee Chirps (1)	2.58s
Animals/Birds	Bird Forest (1)	2.9s
Animals/Birds	Bird Forest (2)	2.65s
Animals/Birds	Bird Forest Short (1)	2.79s
